,id,img_path,artist
0,0,0000.jpg,Diego Velazquez
1,1,0001.jpg,Vincent van Gogh
2,2,0002.jpg,Claude Monet
3,3,0003.jpg,Edgar Degas
4,4,0004.jpg,Hieronymus Bosch
5,5,0005.jpg,Pierre-Auguste Renoir
6,6,0006.jpg,Rene Magritte
7,7,0007.jpg,Rene Magritte
8,8,0008.jpg,Michelangelo
9,9,0009.jpg,Peter Paul Rubens
10,10,0010.jpg,Caravaggio
11,11,0011.jpg,Alfred Sisley
12,12,0012.jpg,Edouard Manet
13,13,0013.jpg,Rembrandt
14,14,0014.jpg,Francisco Goya
15,15,0015.jpg,Edgar Degas
16,16,0016.jpg,Vincent van Gogh
17,17,0017.jpg,Edgar Degas
18,18,0018.jpg,Pablo Picasso
19,19,0019.jpg,Titian
20,20,0020.jpg,Mikhail Vrubel
21,21,0021.jpg,Leonardo da Vinci
22,22,0022.jpg,Kazimir Malevich
23,23,0023.jpg,Alfred Sisley
24,24,0024.jpg,Pierre-Auguste Renoir
25,25,0025.jpg,Andy Warhol
26,26,0026.jpg,Peter Paul Rubens
27,27,0027.jpg,Francisco Goya
28,28,0028.jpg,Vasiliy Kandinskiy
29,29,0029.jpg,Kazimir Malevich
30,30,0030.jpg,Gustav Klimt
31,31,0031.jpg,Francisco Goya
32,32,0032.jpg,Andy Warhol
33,33,0033.jpg,Pablo Picasso
34,34,0034.jpg,Amedeo Modigliani
35,35,0035.jpg,Edgar Degas
36,36,0036.jpg,Edouard Manet
37,37,0037.jpg,Pablo Picasso
38,38,0038.jpg,Henri Rousseau
39,39,0039.jpg,Salvador Dali
40,40,0040.jpg,Pieter Bruegel
41,41,0041.jpg,Vincent van Gogh
42,42,0042.jpg,Albrecht Du rer
43,43,0043.jpg,Henri Rousseau
44,44,0044.jpg,Francisco Goya
45,45,0045.jpg,Vincent van Gogh
46,46,0046.jpg,Vincent van Gogh
47,47,0047.jpg,Paul Gauguin
48,48,0048.jpg,Henri Rousseau
49,49,0049.jpg,Peter Paul Rubens
50,50,0050.jpg,Edgar Degas
51,51,0051.jpg,Rembrandt
52,52,0052.jpg,Sandro Botticelli
53,53,0053.jpg,Pieter Bruegel
54,54,0054.jpg,Albrecht Du rer
55,55,0055.jpg,Leonardo da Vinci
56,56,0056.jpg,Rene Magritte
57,57,0057.jpg,Leonardo da Vinci
58,58,0058.jpg,Albrecht Du rer
59,59,0059.jpg,Vincent van Gogh
60,60,0060.jpg,Piet Mondrian
61,61,0061.jpg,Paul Gauguin
62,62,0062.jpg,Vincent van Gogh
63,63,0063.jpg,Andy Warhol
64,64,0064.jpg,Edgar Degas
65,65,0065.jpg,Eugene Delacroix
66,66,0066.jpg,Vincent van Gogh
67,67,0067.jpg,Francisco Goya
68,68,0068.jpg,Pablo Picasso
69,69,0069.jpg,Pieter Bruegel
70,70,0070.jpg,Vincent van Gogh
71,71,0071.jpg,Paul Klee
